title,artist,tag,year,lyrics
Holy Toledo,Green Day,rock,2021,"[Verse 1]
I wanna go where the trouble begins
And the morning after smells just like a dirty ashtray
Oh, give me shame, lock me in the shower
The penitentiary, elementary school for losers
If this is how it's gonna end, then it feels alright
Baby, let's get sick again

[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again

[Verse 2]
We're crawling out of the dead man's bed
Well, we don't wanna know
Well, we don't wanna know
I'm killing myself just to live
Well, we don't wanna go
Well, we don't wanna go
[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again

[Bridge]
Ba, ba-ba-ra-da
Ba-ba-ra-da, ba-ba-ra-da
Ba, ba-ba-ra-da
Ba-ba-ra-da, ba-ba-da-oh

[Instrumentals]

[Chorus]
We're hell-raisers, death wish cravers
We're running with razor blades
Party favors, sex with strangers
We don't care what the neighbors say
If this is how it's gonna end
'Cause it feels alright
Baby, let's get sick again"
Homecoming Broadway,Green Day,rock,2010,"I. The Death of St. Jimmy

[ST. JIMMY]
My heart is beating from me
I am standing all alone
Please call me only
If you are coming home

Waste another year flies by
Waste a night or two
You taught me how to live

In the streets of shame
Where you've lost your dreams in the rain
There's no sign of hope
The stems and seeds of the last of the dope

[ST. JIMMY and JOHNNY]
There's a glow of light
The St. Jimmy is the spark in the night
Bearing gifts and trust
The fixture in the city of lust
[ST. JIMMY]
What the hell's your name?
What's your pleasure, what is your pain
Do you dream too much?

[ST. JIMMY and JOHNNY]
Do you think what you need is a crutch?

In the crowd of pain
St. Jimmy comes without any shame
He says ""We're fucked up""
But we're not the same
And Mom and Dad are the ones you can blame""

[ST. JIMMY]
Jimmy died today
He blew his brains out into the bay
In the state of mind

[ST. JIMMY and JOHNNY]
In my own private suicide

II. East 12th Street

[THEO and GERARD]
Well nobody cares, well nobody cares
Does anyone care if nobody cares?
Well nobody cares, well nobody cares
Does anyone care if nobody cares?
[THEO and GERARD]
Jesus is filling out paperwork now
At the facility on East 12th St
He's not listening to a word now
He's in his own world and he's daydreaming

He'd rather be doing something else now
Like cigarettes and coffee with the underbelly
His life's on the line with anxiety now
She had enough and he's had plenty

[ALL]
Somebody get me out of here!
Anybody get me out of here!
Somebody get me out of here!
Get me the fuck right out of here!

[JOHNNY]
So far away
I don't want to stay
Get me outta here right now
I just wanna be free
Is there a possibility
Get me out of here right now

[JOHNNY and WILL]
This lifelike dream ain't for me!

III. Nobody Likes You

[WILL]
I fell asleep while watching Spike TV
After ten cups of coffee
And you're still not here
Dreaming of a song
When something went wrong
But I can't tell anyone
'Cause no one's here

Left me here alone
When I should have stayed home
After 10 cups of coffee
I'm thinking...

[ALL]
Where'd you go?

[WILL]
Nobody likes you, everyone left you

[ALL]
Where'd you go?

[WILL]
They're all out without you, having fun

[ALL]
Where'd you go?

[WILL]
Everyone left you, nobody likes you

[ALL]
Where'd you go?

[WILL]
They're all out without you, having fun

[ALL]
Where'd you go?
Go, go, go?

IV. Rock and Roll Girlfriend

[MIGUEL]
Jeez!

I got a rock and roll band
I got a rock and roll life

[MIGUEL and HEATHER]
I got a rock and roll girlfriend!

[MIGUEL]
And another ex-wife

I got a rock and roll house
I got a rock and roll car
I play the shit out the drums

[HEATHER]
And he can play the guitar!

Yeah!

[MIGUEL]
I got a kid in New York
I got a kid in the Bay
I haven't drank or smoked nothing
In over 22-

[WILL]
Don't wanna be an American Idiot!

[MIGUEL]
-days, so get off of my case!

[MIGUEL and HEATHER]
Off of my case!

[ALL]
Off of my case!

V. We're Coming Home Again

[JOHNNY]
Here they come marching down the street
Like a desperation murmur of a heart beat
Coming back from the edge of town
Underneath their feet

[JOHNNY and TUNNY]
The time has come and it going nowhere
Nobody ever said that life was fair now
Go-carts and guns are treasures they will bear
In the summer heat

[WILL]
The world is spinning
Around and around
Out of control again
From the 7-11 to the

[WILL and JOHNNY]
Fear of breaking down!

[JOHNNY]
So send my love a letterbomb
And visit me in hell
We're the ones going...

[JOHNNY, TUNNY, and WILL]
Home. We're coming home again
Home. We're coming home again

[JOHNNY]
I started fuckin' running
As soon as my feet touched ground

[TUNNY]
We're back in the Barrio
But to you-

[JOHNNY, TUNNY, and WILL]
-and me, that's Jingletown, that's...

[ALL]
Home. We're coming home again (x8)

Nobody likes you
Everyone left you
They're all out without you
Havin' fun!"
Fell For You Demo,Green Day,rock,2014,"I woke up in a pool of sweat
First I thought that I pissed the bed
Haunted stories in the midnight hour
The kiss of death from the Eiffel Tower

And I went down like the speed of sound
You're out of sight but not out of mind

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

I'll spend the night living in denial
Making paper planes just for a while
I'll crash in to you, I crash into you
'Cause you crash in my imagination too

Break a leg and you crush my heart
I'm a mess and you're a work of art
Count your blessings going zero to five
Steal a kiss and I took a dive
And I went down like the speed of sound
You're out of sight but not out of mind

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

I'll spend the night living in denial
Making paper planes just for a while
I'll crash into you, I crash into you
'Cause you crash in my imagination

I had a dream that I kissed your lips
And it felt so true
Then I woke up as a nervous wreck
And I fell for you

And I fell for you
And I fell for you"
American Idiot Broadway,Green Day,rock,2010,"[JOHNNY]
Don't want to be an American idiot
Don't want a nation under the new media

[WILL]
And can you hear the sound of hysteria?

[TUNNY]
The subliminal mind-fuck: America

[ALL]
Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[COMPANY]
Well maybe I'm the faggot America
I'm not a part of a redneck agenda
[ALL]
Now everybody do the propaganda
And sing along to the age of paranoia

Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue

[ENSEMBLE 1]
Don't want to be an American idiot

[ENSEMBLE 2]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media

[ENSEMBLE 2]
One nation controlled by the media

[ENSEMBLE 1]
Don't want to be an American idiot
[ENSEMBLE 2]
Don't want to be an American Idiot

[FEMALE ENSEMBLE]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media

[ENSEMBLE 2]
One nation controlled by the media

[FEMALE ENSEMBLE]
One nation controlled by the media

[ENSEMBLE 1]
Don't want to be an American idiot

[ENSEMBLE 2]
Don't want to be an American Idiot

[FEMALE ENSEMBLE]
Don't want to be an American idiot

[ENSEMBLE 1]
One nation controlled by the media
Information age of hysteria
[ENSEMBLE 2]
One nation controlled by the media
Hysteria

[FEMALE ENSEMBLE]
One nation controlled by hysteria

[ALL]
It's calling out to idiot America

Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We're not the ones who're meant to follow
For that's enough to argue"
Walking The Dog,Green Day,rock,2020,"[Intro]
Rolling
Bong it
Take 5

[Verse 1]
Mary mac, dressed in black
Silver buttons all down her back
High to low, tip to toe
She broke a needle and she can't sew

[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
[Whistle]
C'mon now, c'mon, c'mon!

[Verse 2]
Asked my mama for fifteen cents
See the elephant jump the fence
He jumped so high he touched the sky
Never got back till the Fourth of July
[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
C'mon now, c'mon, c'mon!

[Verse 3]
Baby, baby, quite contrary
Tell me, how does your garden grow
You got silver bells and you got cockle shells
Pretty maids all in a row

[Chorus]
Walkin' the dog
Just a-walkin' the dog
If you don't know how to do it
I'll show you how to walk the dog
C'mon now, c'mon, c'mon!

[Bridge]
Oh ho
Just-a, just-a, just a-walkin'
Just-a, just-a, just a-walkin'
Just-a, just-a, just a-walkin'
Oh yeah
If you don't know how to do it
I'll show you how to walk the dog
Ohh!
Just-a, just-a, just-a, just-a, just a-walkin'
Just-a, just-a, just-a, just-a, just a-walkin'
[Outro]
Ohh!
Just-a, just-a, just-a, just-a, just a-walkin'
Just-a, just-a, just-a, just-a, just a-walkin'"
Stuart and the Ave.,Green Day,rock,1995,"[Verse 1]
Standing on the corner of Stuart and the avenue
Ripping up my transfer and a photograph of you
You're a blur of my dead past and rotting existence
As I stand laughing on the corner of insignificance

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up

[Verse 2]
Seasons change as well as minds, and I'm a two-faced clown
You're Mommy's little nightmare, driving Daddy's car around
I'm beat down and half brain dead, the long lost king of fools
I may be dumb, but I'm not stupid enough to stay with you

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up
[Instrumental Bridge]

[Chorus]
Well, destiny is dead
In the hands of bad luck
Before, it might have made some sense
But now it's all fucked up
We’re all fucked up
You're all fucked up"
Stay the Night Acoustic,Green Day,rock,2014,"Well I ain't got much time so I'll get to the point
Do you wanna share a ride and get the fuck out of this joint?
I've got an impulse so repulsive that it burns
I wanna break your heart until it makes your stomach turn
I got to know if you're the one that got away
Even though it was never meant to be
Say you'll stay the night
'cause we're running out of time
So stay the night
I don't wanna say goodbye
Say you'll stay the night
'cause we're running out of time
So stay the night
Well I don't wanna say goodbye
Well you're so sick and tired of feeling so alone
Well I don't understand the point if you have to go home
So won't you stay and count the circles 'round my eyes?
And we can watch the stars until the sun begins to rise
I got to know if you're the one that got away
Even though it was never meant to be
Say you'll stay the night
'cause we're running out of time
So stay the night
I don't wanna say goodbye
Say you'll stay the night
'cause we're running out of time
So stay the night
Well I don't wanna say goodbye"
Ashley Demo,Green Day,rock,2014,"1,2!

ASHLEY!
Are you running around?
Are you crying out bloody murder?

ASHLEY!
Are you bumming around?
Are you crying on my cold shoulder?

You used to dangle my heart with your puppet strings
Dangled your desired right in front of my face
You led me to the well but wouldn't let me drink
I swallowed my pride and never even got the taste
But time comes around and I'm not so naive
I finally lost touch cause you're so out of reach
You say that you're fine but i know that you ain't
You're looking like hell and you're no fucking saint

ASHLEY!
Are you running around?
Are you crying out bloody murder?
ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH

You used to dangle my heart with your puppet strings
Dangled your desired right in front of my face
You led me to the well but wouldn't let me drink
I swallowed my pride and never even got the taste
But time comes around and I'm not so naive
I finally lost touch cause you're so out of reach
You say that you're fine but i know that you ain't
You're looking like hell and you're no fucking saint

ASHLEY!
Are you running around?
Are you crying out Bloody Murder?

ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH

ASHLEY!
Are you running around?
Are you crying out Bloody Murder?

ASHLEY!
Are you bumming around?
Are you crying on my could shoulder? MEEEHHHHH
ASHLEY!
ASHLEY!
ASHLEY!
ASHLEY!"
Thats Alright,Green Day,rock,2009,"Well now, that's all right, now mama
That's all right for you
That's all right now, mama
Anyway you do

But that's all right
That's all right
That's all right now mama
Anyway you do

Well, my mama she done tol' me
Papa tol' me, too
'The life your livin, son
Now, women be the death of you'

That's all right
That's all right
That's all right, now mama
Anyway you do

'Yeah, man!'
(guitar & instrumental)

Baby, one an one is two
Two an two is fo'
I love that woman
But I got to let her go

That's all right
That's all right
That's all right, now mama
Anyway you do

Babe, now if you don't want me
Why not tell me so?
You won't be bothered wit' me
'Round yo house no mo'

But that's all right
That's all right
That's all right, now mama
Anyway you do
De-ah-da, de-de-de, de
De-de-de, de
De-de-de, de
De-de-de
De-de-de, de
De-de-de
Now, that's all right
That's all right
That's all right, now mama
Anyway you do"
Extraordinary Girl / Letterbomb,Green Day,rock,2004,"[""Extraordinary Girl""]

[Instrumental Intro]

[Verse 1]
She's an extraordinary girl
In an ordinary world
And she can't seem to get away
He lacks the courage in his mind
Like a child left behind
Like a pet left in the rain

[Chorus]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
She gets so sick of crying

[Verse 2]
She sees the mirror of herself
An image she wants to sell
To anyone willing to buy
He steals the image in her kiss
From her heart's apocalypse
From the one called Whatsername
[Chorus]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
She gets so sick of crying

[Instrumental Break]

[Chorus 2]
She's all alone again
Wiping the tears from her eyes
Some days he feels like dying
Some days it's not worth trying
Now that they both are finding
She gets so sick of crying

[Outro]
She's an extraordinary girl
An extraordinary girl
An extraordinary girl
An extraordinary girl

[""Letterbomb""]

[Intro - Kathleen Hanna]
Nobody likes you
Everyone left you
They're all out without you
Having fun
[Verse 1]
Where have all the bastards gone?
The underbelly stacks up ten high
The dummy failed the crash test
Collecting unemployment checks
Like a flunkie only along for the ride

Where have all the riots gone
As the city's motto gets pulverized?
What's in love is now in debt
On your birth certificate
So strike the fucking match to light this fuse!

[Pre-Chorus]
The town bishop's an extortionist
And he don't even know that you exist
Standing still when it's do or die
You better run for your fucking life

[Chorus]
It's not over 'till you're underground
It's not over before it's too late
This city's burnin'
It's not my burden
It's not over before it's too late
There's nothing left to analyze

[Bridge]
Where will all the martyrs go when the virus cures itself?
And where will we all go when it's too late?

[Ad Lib]
And don't look back

[Middle Eight]
You're not the Jesus of Suburbia
The St. Jimmy is a figment of
Your father's rage and your mother's love
Made me the idiot America

[Chorus 2]
It's not over 'till you're underground
It's not over before it's too late
This city's burnin'
It's not my burden
It's not over before it's too late

[Outro]
She said ""I can't take this place
I'm leaving it behind""
Well she said ""I can't take this town
I'm leaving you tonight"""
magic ball,Taylor Swift,pop,2022,"[Verse 1]
It's weird how all of you guys are gone
It lasted for a day, I knew it
The moment I saw his face
I know we wouldn't be together, forever
I don't wanna make this all about me
But I heard something dirty

[Chorus]
And that's the words he said
Last time I met him the rain
I met him before I threw him away
Don't take back the words you said
It's funny you're future isn't in a magic ball yet

[Verse 2]
If you wanna find someone better than me, that's fine
I met the perfect guy in 1926
Wow, you havе just been a b*tch
I need more from your lies
Dig deeper and deepеr until I find you're heart
[Chorus]
And that's the words he said
Last time I met him in the rain
I met him before I threw him away
Don't take back the words you said
It's funny you're future isn't in a magic ball yet

[Bridge]
I swear I met somebody different
Somebody who cares
Someone who loves me
Someone who isn't cruel
Someone that makes me laugh
Well, none of those things are you
And I'd come crashing down
And you'd just sit there alone
While I'll run off by myself
It's the only thing that keeps me alive
That phone call you made to me
I missed it too but leave you behind

[Outro]
The magic ball isn't broken
It just doesn't tell pretty lies"
Picture to Burn,Taylor Swift,country,2006,"[Verse 1]
State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way

[Chorus]
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Verse 2]
There's no time for tears
I'm just sitting here planning my revenge
There's nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddy's gonna show you how sorry you'll be
[Chorus]
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Bridge]
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health

[Chorus]
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
In case you haven't heard
I really really hate that
Stupid old pickup truck you never let me drive
You're a redneck heartbreak, who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn

[Outro]
Burn, burn, burn, baby, burn
You're just another picture to burn
Baby, burn"
Teardrops on My Guitar Live from SoHo,Taylor Swift,country,2008,"[Verse 1]
Drew looks at me
I  fake a smile so he won't see
That  I want and I'm needing
Everything that we should be

[Pre-Chorus 1]
I'll bet she's beautiful, that girl he talks about
And  she's got everything that I have to live without

[Verse 2]
Drew  talks to me
I laugh 'cause it's just so funny
That  I can't even see
Anyone when he's with me

[Pre-Chorus 2]
He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night

[Chorus]
He's  the reasons for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car
I keep singing, don't know why I do...
[Verse 3]
Drew walks by me
Can't he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be

[Pre-Chorus 3]
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause

[Chorus]
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car
I keep singing, don't know why I do...

[Bridge]
So I drive home alone, as I turn out the light
I'll put his picture down and maybe get some sleep tonight

[Chorus]
'Cause he's the reason for the teardrops on my guitar
The only one who’s got enough of me to break my heart
He's the song in the car
I keep singing, don't know why I do...
[Outro]
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me
I fake a smile so he won't see
Thank you"
Dress,Taylor Swift,pop,2017,"[Verse 1]
Our secret moments in a crowded room
They got no idea about me and you
There is an indentation in the shape of you
Made your mark on me, a golden tattoo

[Pre-Chorus]
All of this silence and patience, pining and anticipation
My hands are shaking from holding back from you
Ha, ah, ah
All of this silence and patience, pining and desperately waiting
My hands are shaking from all this
Ah, ha, ha, ha-ah

[Chorus]
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
’Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
[Verse 2]
Inescapable, I'm not even gonna try
And if I get burned, at least we were electrified
I’m spilling wine in the bathtub
You kiss my face and we're both drunk
Everyone thinks that they know us
But they know nothin' about

[Pre-Chorus]
All of this silence and patience, pining and anticipation
My hands are shaking from holding back from you
Ha, ah, ah
All of this silence and patience, pining and desperately waiting
My hands are shaking from all this
Ah, ha, ha, ha-ah

[Chorus]
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha...
[Post-Chorus]
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off

[Bridge]
Flashback when you met me
Your buzzcut and my hair bleached
Even in my worst times, you could see the best in me
Flashback to my mistakes
My rebounds, my earthquakes
Even in my worst lies, you saw the truth in me
And I woke up just in time
Now I wake up by your side
My one and only, my lifeline
I woke up just in time
Now I wake up by your side
My hands shake, I can't explain this
Ah, ha, ha, ha-ah

[Chorus]
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
’Cause I don’t want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
[Outro]
There is an indentation in the shape of you
Only bought this dress so you could take it off
You made your mark on me, golden tattoo
Only bought this dress so you could take it off"
Who Knew / Unpretty,Taylor Swift,pop,2011,"If someone said three years from now
You'd be long gone
I'd stand up and punch them out
Cause they're all wrong
I know better, cause you said forever
And ever, who knew?

If someone said three years from now
You'd be long gone
That last kiss, I'll cherish, until we meet again
My darling, who knew?

Because P!nk is from Philly, ladies and gentlemen!

I wish I could tie you up in my shoes
Make you feel unpretty too
I was told I was beautiful
But what does that mean to you?
Look into the mirror, who's inside there
The one with the long hair
Same old me again today, yeah
My outsides look cool
My insides are blue
Every time I think I'm through
It's because of you
I try different ways
But it's all the same
At the end of the day
I have myself to blame
I'm just trippin'

You can buy your hair if it won't grow
You can fix your nose if he says so
You can buy all the make-up
They can make, but if
You can't look inside you
Find out who am I to
Be in the position that make me feel
So
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Make you feel unpretty too

That's another song by an artist from Philly, I wanna see if you know it"
Never Grow Up,Taylor Swift,country,2010,"[Verse 1]
Your little hand's wrapped around my finger
And it's so quiet in the world tonight
Your little eyelids flutter cause you're dreaming
So I tuck you in, turn on your favorite night light
To you everything's funny, you got nothing to regret
I'd give all I have, honey
If you could stay like that

[Chorus]
Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
I won't let nobody hurt you, won't let no one break your heart
And no one will desert you
Just try to never grow up, never grow up

[Verse 2]
You're in the car on the way to the movies
And you're mortified your mom's dropping you off
At fourteen, there's just so much you can't do
And you can't wait to move out someday and call your own shots
But don't make her drop you off around the block
Remember that she's getting older too
And don't lose the way that you dance around in your pj's getting ready for school
[Chorus]
Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
No one's ever burned you, nothing's ever left you scarred
And even though you want to, just try to never grow up

[Bridge]
Take pictures in your mind of your childhood room
Memorize what it sounded like when your dad gets home
Remember the footsteps, remember the words said
And all your little brother's favorite songs
I just realized everything I have is someday gonna be gone
So here I am in my new apartment
In a big city, they just dropped me off
It's so much colder than I thought it would be
So I tuck myself in and turn my night light on
Wish I'd never grown up
I wish I'd never grown up

[Chorus]
Oh, I don't wanna grow up, wish I'd never grown up
I could still be little
Oh, I don't wanna grow up, wish I'd never grown up
It could still be simple
Oh darling, don't you ever grow up
Don't you ever grow up, just stay this little
Oh darling, don't you ever grow up
Don't you ever grow up, it could stay this simple
Won't let nobody hurt you
Won't let no one break your heart
And even though you want to, please try to never grow up
Oh, don't you ever grow up
Oh, never grow up, just never grow up"
The Outside,Taylor Swift,country,2006,"[Verse 1]
I didn't know what I would find
When I went looking for a reason, I know
I didn't read between the lines
And, baby, I've got nowhere to go

[Pre-Chorus]
I tried to take the road less traveled by
But nothing seems to work the first few times
Am I right?

[Chorus]
So how can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Verse 2]
You saw me there, but never knew
That I would give it all up to be
A part of this, a part of you
And now it's all too late, so you see
[Pre-Chorus]
You could've helped if you had wanted to
But no one notices until it's too
Late to do anything

[Chorus]
How can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Post-Chorus]
Oh, yeah

[Chorus]
How can I ever try to be better?
Nobody ever lets me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside

[Outro]
Oh-oh
Oh, oh-oh
Oh-oh
Oh-oh"
Lover Live from Paris,Taylor Swift,pop,2020,"[Verse 1]
We could leave the Christmas lights up 'til January
This is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you 20 seconds or 20 years?

[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, take me home
You're my, my, my, my lover

[Verse 2]
We could let our friends crash in the living room
This is our place, we make the call
And I'm highly suspicious that everyone who sees you wants you
I've loved you three summers now, honey, but I want 'em all

[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, take me home (Forever and ever)
You're my, my, my, my lover
[Bridge]
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
My heart's been borrowed and yours has been blue
All's well that ends well to end up with you
Swear to be overdramatic and true to my lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover

[Chorus]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home (Forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my lover"
White Horse,Taylor Swift,country,2008,"[Verse 1]
Say you're sorry, that face of an angel
Comes out just when you need it to
As I paced back and forth all this time
'Cause I honestly believed in you
Holdin' on, the days drag on
Stupid girl, I shoulda known, I shoulda known

[Chorus]
That I'm not a princess, this ain't a fairytale
I'm not the one you'll sweep off her feet, lead her up the stairwell
This ain't Hollywood, this is a small town
I was a dreamer before you went and let me down
Now it's too late for you and your white horse
To come around

[Verse 2]
Maybe I was naive, got lost in your eyes
And never really had a chance
My mistake, I didn't know to be in love
You had to fight to have the upper hand
I had so many dreams about you and me
Happy endings, now I know
[Chorus]
That I'm not a princess, this ain't a fairytale
I'm not the one you'll sweep off her feet, lead her up the stairwell
This ain't Hollywood, this is a small town
I was a dreamer before you went and let me down
Now it's too late for you and your white horse
To come around

[Bridge]
And there you are on your knees
Beggin' for forgiveness, beggin' for me
Just like I always wanted
But I'm so sorry

[Chorus]
'Cause I'm not your princess, this ain't our fairytale
I'm gonna find someone someday, who might actually treat me well
This is a big world, that was a small town
There in my rear view mirror disappearing now
And it's too late for you and your white horse
Now it's too late for you and your white horse
To catch me now

[Outro]
Oh, whoa, whoa, whoa
Try and catch me now, oh
It's too late to catch me now"
The Way I Loved You Taylors Version,Taylor Swift,country,2021,"[Verse 1]
He is sensible and so incredible
And all my single friends are jealous
He says everything I need to hear and it's like
I couldn't ask for anything better
He opens up my door and I get into his car
And he says, ""You look beautiful tonight""
And I feel perfectly fine

[Chorus]
But I miss screaming and fighting and kissing in the rain
And it's 2AM and I'm cursing your name
You're so in love that you act insane
And that's the way I loved you
Breaking down and coming undone
It's a rollercoaster kind of rush
And I never knew I could feel that much
And that's the way I loved you

[Verse 2]
He respects my space
And never makes me wait
And he calls exactly when he says he will
He's close to my mother
Talks business with my father
He's charming and endearing
And I'm comfortable
[Chorus]
But I miss screaming and fighting and kissing in the rain
And it's 2AM and I'm cursing your name
You're so in love that you act insane
And that's the way I loved you
Breaking down and coming undone
It's a rollercoaster kind of rush
And I never knew I could feel that much
And that's the way I loved you

[Bridge]
He can't see the smile I'm faking
And my heart's not breaking
'Cause I'm not feeling anything at all
And you were wild and crazy
Just so frustrating
Intoxicating, complicated
Got away by some mistake and now

[Chorus]
I miss screaming and fighting and kissing in the rain
It's 2AM and I'm cursing your name
So in love that I acted insane
And that's the way I loved you
Breaking down and coming undone
It's a rollercoaster kind of rush
And I never knew I could feel that much
And that's the way I loved you oh, oh
[Outro]
Whoa, whoa, oh-oh, oh
And that's the way I loved you oh, oh, oh, oh
Oh, oh, oh, whoa
Never knew I could feel that much
And that's the way I loved you"
